id,name,court,decision_year,case_url,citation_count
1017660,United Mutual Savings Bank v. Riebli,Washington Supreme Court,1960,https://static.case.law/wash-2d/55/cases/0816-01.json,14
594079,Martindale Clothing Co. v. Spokane & Eastern Trust Co.,Washington Supreme Court,1914,https://static.case.law/wash/79/cases/0643-01.json,5
552848,Lynch v. Ninemire Packing Co.,Washington Supreme Court,1911,https://static.case.law/wash/63/cases/0423-01.json,7
2417036,Shay v. Parkhurst,Washington Supreme Court,1951,https://static.case.law/wash-2d/38/cases/0341-01.json,6
1008240,Klise v. City of Seattle,Washington Supreme Court,1958,https://static.case.law/wash-2d/52/cases/0412-01.json,7
1002142,Kind v. City of Seattle,Washington Supreme Court,1957,https://static.case.law/wash-2d/50/cases/0485-01.json,7
999413,Hogland v. Klein,Washington Supreme Court,1956,https://static.case.law/wash-2d/49/cases/0216-01.json,1
2498126,Morner v. Union Pacific Railroad,Washington Supreme Court,1948,https://static.case.law/wash-2d/31/cases/0282-01.json,17
4976967,Nopson v. Wockner,Washington Supreme Court,1952,https://static.case.law/wash-2d/40/cases/0645-01.json,4
12101563,First National Realty Corp. v. Javins,Supreme Court of the United States,1970,https://static.case.law/us/400/cases/0925-05.json,0
1095193,Thomas v. Housing Authority,Washington Supreme Court,1967,https://static.case.law/wash-2d/71/cases/0069-01.json,5
1239473,Hartford Fire Insurance v. Chicago Milwaukee & St. Paul Railway Co.,Supreme Court of the United States,1899,https://static.case.law/us/175/cases/0091-01.json,0
477678,Broderson v. Rainier National Park Co.,Washington Supreme Court,1936,https://static.case.law/wash/187/cases/0399-01.json,0
622661,Mesher v. Osborne,Washington Supreme Court,1913,https://static.case.law/wash/75/cases/0439-01.json,4
615468,Le Vette v. Hardman Estate,Washington Supreme Court,1914,https://static.case.law/wash/77/cases/0320-01.json,0
999494,Papac v. City of Montesano,Washington Supreme Court,1956,https://static.case.law/wash-2d/49/cases/0484-01.json,8
996526,Sigurdson v. City of Seattle,Washington Supreme Court,1956,https://static.case.law/wash-2d/48/cases/0155-01.json,8
807253,Woodward v. City of Seattle,Washington Supreme Court,1926,https://static.case.law/wash/140/cases/0083-01.json,7
762307,Wiley v. City of Aberdeen,Washington Supreme Court,1923,https://static.case.law/wash/123/cases/0539-01.json,5
568326,Ronkosky v. City of Tacoma,Washington Supreme Court,1912,https://static.case.law/wash/71/cases/0148-01.json,3
660528,Jacobs v. City of Seattle,Washington Supreme Court,1918,https://static.case.law/wash/100/cases/0524-01.json,7
1283434,Ulery v. Kitsap County,Washington Supreme Court,1936,https://static.case.law/wash/188/cases/0519-01.json,7
4978096,Harkoff v. Whatcom County,Washington Supreme Court,1952,https://static.case.law/wash-2d/40/cases/0147-01.json,9
1005731,Finley v. City of Puyallup,Washington Supreme Court,1957,https://static.case.law/wash-2d/51/cases/0204-01.json,3
999373,Judd v. Bernard,Washington Supreme Court,1956,https://static.case.law/wash-2d/49/cases/0619-01.json,6
1002136,Swanson v. Solomon,Washington Supreme Court,1957,https://static.case.law/wash-2d/50/cases/0825-01.json,5
1002129,Richert v. Handly,Washington Supreme Court,1957,https://static.case.law/wash-2d/50/cases/0356-01.json,1
1086651,Bach v. Sarich,Washington Supreme Court,1968,https://static.case.law/wash-2d/74/cases/0575-01.json,2
11337871,Hughes v. Washington,Supreme Court of the United States,1967,https://static.case.law/us/389/cases/0290-01.json,4
1789753,Foisy v. Wyman,Washington Court of Appeals,1975,https://static.case.law/wash-app/14/cases/1022-01.json,0
2524042,Ghione v. State,Washington Supreme Court,1946,https://static.case.law/wash-2d/26/cases/0635-01.json,18
566846,Jones v. Spokane Portland & Seattle Railway Co.,Washington Supreme Court,1912,https://static.case.law/wash/69/cases/0012-01.json,15
2538007,D'Amico v. Conguista,Washington Supreme Court,1946,https://static.case.law/wash-2d/24/cases/0674-01.json,47
2580635,Case v. Peterson,Washington Supreme Court,1943,https://static.case.law/wash-2d/17/cases/0523-01.json,8
2538556,Wellons v. Wiley,Washington Supreme Court,1946,https://static.case.law/wash-2d/24/cases/0543-01.json,11
570624,McClellan v. Schwartz,Washington Supreme Court,1917,https://static.case.law/wash/97/cases/0417-01.json,7
291246,Penson v. Inland Empire Paper Co.,Washington Supreme Court,1913,https://static.case.law/wash/73/cases/0338-01.json,13
2533171,Pacific Coast R. R. v. American Mail Line Ltd.,Washington Supreme Court,1946,https://static.case.law/wash-2d/25/cases/0809-01.json,10
