start_id,start_vertex_type,end_id,end_vertex_type,case_id,other_id,case_year,other_year
594079,Case,1017660,Case,594079,1914,1017660,1960
552848,Case,1017660,Case,552848,1911,1017660,1960
2417036,Case,1017660,Case,2417036,1951,1017660,1960
1008240,Case,1017660,Case,1008240,1958,1017660,1960
1002142,Case,1017660,Case,1002142,1957,1017660,1960
999413,Case,1017660,Case,999413,1956,1017660,1960
2498126,Case,1017660,Case,2498126,1948,1017660,1960
4976967,Case,1017660,Case,4976967,1952,1017660,1960
1008240,Case,1017660,Case,1008240,1958,1017660,1960
1002142,Case,1017660,Case,1002142,1957,1017660,1960
999413,Case,1017660,Case,999413,1956,1017660,1960
622661,Case,594079,Case,622661,1913,594079,1914
615468,Case,594079,Case,615468,1914,594079,1914
1963381,Case,2417036,Case,1963381,1939,2417036,1951
855654,Case,2417036,Case,855654,1932,2417036,1951
4926195,Case,2417036,Case,4926195,1950,2417036,1951
811959,Case,2417036,Case,811959,1926,2417036,1951
4906843,Case,2417036,Case,4906843,1949,2417036,1951
2498126,Case,2417036,Case,2498126,1948,2417036,1951
999413,Case,1008240,Case,999413,1956,1008240,1958
4976967,Case,1008240,Case,4976967,1952,1008240,1958
1002142,Case,1008240,Case,1002142,1957,1008240,1958
2428154,Case,1008240,Case,2428154,1954,1008240,1958
996384,Case,1008240,Case,996384,1955,1008240,1958
1005793,Case,1008240,Case,1005793,1957,1008240,1958
1005761,Case,1008240,Case,1005761,1957,1008240,1958
999413,Case,1002142,Case,999413,1956,1002142,1957
4976967,Case,1002142,Case,4976967,1952,1002142,1957
594069,Case,1002142,Case,594069,1914,1002142,1957
622598,Case,1002142,Case,622598,1913,1002142,1957
4976967,Case,1002142,Case,4976967,1952,1002142,1957
2602549,Case,999413,Case,2602549,1944,999413,1956
566846,Case,2498126,Case,566846,1912,2498126,1948
2538007,Case,2498126,Case,2538007,1946,2498126,1948
2580635,Case,2498126,Case,2580635,1943,2498126,1948
2538556,Case,2498126,Case,2538556,1946,2498126,1948
570624,Case,2498126,Case,570624,1917,2498126,1948
291246,Case,2498126,Case,291246,1913,2498126,1948
552848,Case,2498126,Case,552848,1911,2498126,1948
2533171,Case,2498126,Case,2533171,1946,2498126,1948
2602549,Case,2498126,Case,2602549,1944,2498126,1948
5280513,Case,2498126,Case,5280513,1940,2498126,1948
